L_CR_1h_10kWh,L_CR_1h_20kWh,L_CR_1h_30kWh,L_CR_1h_40kWh,L_CR_1h_50kWh,L_CR_1h_5kWh
427.825,879.2,1295.25,1428.7,2256.875,202.1375
464.24,787.55,1330.545,2006.18,1761.625,184.4525
540.87,885.06,1260.54,1609.2,2592.6,201.15
500.5,809.9,1583.4,1619.8,1933.75,211.575
565.2,857.22,1285.83,1733.28,2072.4,237.855
413.525,1060.57,1313.55,2062.76,2919,238.385
567.49,862.96,1252.23,1800.96,2602.95,227.465
498.675,969.9,1509.75,2013,2424.75,231.0375
410.865,903,1191.96,1643.46,2686.425,232.5225
527.46,777.78,1622.61,1770.12,2547.9,265.965
498.33,846.72,1151.01,1569.96,2138.85,255.78
530.595,1070.26,1374.105,2049.82,2040.75,258.495
583.51,1176.91,1542.84,1997.78,2348.875,244.7775
554.83,1178.4,1325.7,2003.28,2896.9,274.96
427.185,871.63,1514.565,1812.3,2437.975,183.3875
348.985,828.36,1104.48,1319.24,2281.825,218.595
355.865,642.63,912.12,1534.02,1848.425,152.02
365.4,604.8,1020.6,1209.6,1464.75,135.45
298.7,638,939.6,1310.8,1479,153.7
309.65,534.85,1004.955,1216.08,1506.025,152.01
269.325,646.38,850.5,997.92,1672.65,121.905
319.93,568.1,834.21,1447.16,1360.45,155.48
388.44,590.96,956.16,1513.92,1577,180.94
413.6,812.16,1037.76,1639.36,2086.8,165.44
341.475,777.15,1000.875,1397.3,2119.5,219.8
497.4,870.45,1243.5,1790.64,2238.3,180.3075
406.77,894,1273.95,1591.32,2346.75,210.09
445.9,1001,1474.2,1638,2024.75,261.625
400.35,866.64,1554.3,1714.44,2260.8,226.08
530.285,1031.38,1430.31,1984.92,2651.425,289.4675
529.97,938,1407,1650.88,2743.65,243.88
475.8,933.3,1317.6,1830,2196,260.775
496.65,1029.42,1598.31,2149.14,2099.475,209.9475
478.29,938.7,1314.18,1895.28,1989.15,214.56
383.67,943.74,1442.07,2010.96,2668.05,253.575
426.29,825.37,1482.945,1995.4,2086.1,269.8325
